Date,Open,High,Low,Close,Volume,Change
2019-05-23,8200,10650,7800,10650,13197518,
2019-05-24,11550,13300,10650,11450,11035669,0.07511737089201875
2019-05-27,13200,14850,12050,14850,8296387,0.29694323144104806
2019-05-28,15100,18850,13950,15650,14916433,0.05387205387205385
2019-05-29,15750,18200,15000,15900,7302678,0.015974440894568787
2019-05-30,16050,17400,15000,15150,2175794,-0.047169811320754707
2019-05-31,16150,16350,14000,14700,1802204,-0.02970297029702973
2019-06-03,14300,15200,13800,14300,1168908,-0.027210884353741527
2019-06-04,14850,15500,14050,14200,1492811,-0.006993006993006978
2019-06-05,14000,14150,12900,13200,922462,-0.07042253521126762
2019-06-07,12900,13300,12300,12600,1430596,-0.045454545454545414
2019-06-10,12650,12800,11650,11800,1047099,-0.06349206349206349
2019-06-11,11900,12250,11700,11950,786377,0.012711864406779627
2019-06-12,11950,12000,11100,11100,501891,-0.07112970711297073
2019-06-13,11200,11500,11000,11450,372107,0.03153153153153143
2019-06-14,11250,11350,10600,10850,389357,-0.05240174672489084
2019-06-17,10800,10800,10050,10250,399679,-0.055299539170506895
2019-06-18,10100,10250,9350,9770,594406,-0.04682926829268297
2019-06-19,9760,10150,9630,9830,399302,0.0061412487205732
2019-06-20,9870,11050,9870,10350,1337498,0.0528992878942014
2019-06-21,10250,10850,10000,10100,638941,-0.024154589371980673
2019-06-24,9950,9960,9000,9020,927489,-0.10693069306930691
2019-06-25,8930,9100,7920,8100,941103,-0.1019955654101996
2019-06-26,8140,8450,7950,8140,518401,0.004938271604938205
2019-06-27,8220,8350,7690,7740,319659,-0.0491400491400491
2019-06-28,7750,7840,7260,7390,385573,-0.0452196382428941
2019-07-01,7480,9310,7390,8200,4610198,0.10960757780784847
2019-07-02,8250,8430,7960,8110,832595,-0.01097560975609757
2019-07-03,8250,8410,8040,8130,577880,0.002466091245376001
2019-07-04,8110,8150,7460,7560,414021,-0.07011070110701112
2019-07-05,7620,7630,7200,7600,263849,0.005291005291005346
2019-07-08,7420,7980,7350,7430,242602,-0.022368421052631593
2019-07-09,7270,7580,7230,7310,122210,-0.016150740242261152
2019-07-10,7450,9500,7360,8550,4110029,0.16963064295485641
2019-07-11,8480,9880,8330,9300,6037525,0.08771929824561409
2019-07-12,9250,9500,9050,9110,931624,-0.02043010752688168
2019-07-15,9210,9720,9090,9130,1718088,0.002195389681668436
2019-07-16,9190,9230,8590,8610,664697,-0.056955093099671394
2019-07-17,8670,8890,8010,8140,546414,-0.05458768873403019
2019-07-18,8060,8210,7660,7750,303479,-0.04791154791154795
2019-07-19,7800,10050,7620,10050,9465694,0.2967741935483872
2019-07-22,10700,11200,10050,10500,5209109,0.04477611940298498
2019-07-23,10500,11800,10350,10700,6334911,0.01904761904761898
2019-07-24,10750,10850,9910,10750,1485556,0.004672897196261738
2019-07-25,10750,11800,10550,10850,4091693,0.009302325581395321
2019-07-26,10700,11550,10100,10100,2207204,-0.06912442396313367
2019-07-29,10050,10100,9050,9050,926476,-0.10396039603960394
2019-07-30,9050,9740,9050,9310,1114723,0.02872928176795586
2019-07-31,9160,9310,8500,8770,724763,-0.0580021482277121
2019-08-01,8890,11400,8890,9850,8580337,0.12314709236031929
2019-08-02,10200,12400,10050,12400,7618164,0.25888324873096447
2019-08-05,12450,14500,11850,12950,9143953,0.04435483870967749
2019-08-06,12900,13850,11650,12600,4772218,-0.027027027027026973
2019-08-07,12600,13200,11450,11550,2409840,-0.08333333333333337
2019-08-08,11850,12100,11050,12100,2289729,0.04761904761904767
2019-08-09,11900,12850,11750,12650,2266231,0.045454545454545414
2019-08-12,12700,12950,12000,12050,1471803,-0.04743083003952564
2019-08-13,12250,12450,11300,11400,1135383,-0.053941908713692976
2019-08-14,11550,11700,11050,11250,649362,-0.013157894736842146
2019-08-16,11050,11250,10250,10350,934082,-0.07999999999999996
2019-08-19,10450,10550,9900,9900,663858,-0.04347826086956519
2019-08-20,9850,10650,9850,10250,1104578,0.03535353535353525
2019-08-21,10350,10350,10000,10250,343007,0.0
2019-08-22,10250,10700,10200,10250,475693,0.0
2019-08-23,10000,10050,9020,9210,1327293,-0.10146341463414632
2019-08-26,8800,8980,8400,8440,637350,-0.08360477741585237
2019-08-27,8600,8960,8410,8480,478137,0.004739336492890933
2019-08-28,8480,8820,8480,8730,356712,0.02948113207547176
2019-08-29,8710,8730,8360,8370,236936,-0.04123711340206182
2019-08-30,8440,8730,8440,8500,207823,0.015531660692950977
2019-09-02,8540,9100,8450,8800,458108,0.03529411764705892
2019-09-03,8840,9190,8690,8810,367716,0.001136363636363713
2019-09-04,8810,9060,8780,9030,264846,0.02497162315550505
2019-09-05,9120,9120,8850,8880,211530,-0.01661129568106312
2019-09-06,8890,9280,8860,8910,413841,0.0033783783783782884
2019-09-09,8840,8960,8420,8460,254885,-0.0505050505050505
2019-09-10,8470,8620,8080,8080,302355,-0.044917257683215084
2019-09-11,8100,8400,8040,8400,218441,0.03960396039603964
2019-09-16,8750,9210,8710,8850,982121,0.0535714285714286
2019-09-17,8720,8780,8480,8660,211784,-0.021468926553672274
2019-09-18,8600,8780,8540,8700,168088,0.004618937644341736
2019-09-19,8720,8830,8600,8600,192912,-0.011494252873563204
2019-09-20,8550,8710,8540,8580,119830,-0.0023255813953488857
2019-09-23,8510,9000,8500,8690,308985,0.012820512820512775
2019-09-24,8660,8960,8600,8880,233559,0.021864211737629535
2019-09-25,8860,9050,8520,8520,300992,-0.04054054054054057
2019-09-26,8550,8790,8510,8590,102879,0.008215962441314506
2019-09-27,8540,8690,8480,8490,79935,-0.011641443538998875
2019-09-30,8410,8530,8080,8140,167862,-0.04122497055359242
2019-10-01,8140,8300,8070,8180,90973,0.004914004914004844
2019-10-02,8120,8250,8080,8080,112794,-0.012224938875305624
2019-10-04,8080,8210,7900,7940,139337,-0.017326732673267342
2019-10-07,7920,8180,7830,7910,134112,-0.0037783375314861534
2019-10-08,7730,7980,7720,7960,180457,0.006321112515802696
2019-10-10,8460,8630,8000,8000,412789,0.005025125628140614
2019-10-11,8000,8230,7850,7850,168847,-0.018750000000000044
2019-10-14,7850,8060,7810,7870,156454,0.002547770700636942
2019-10-15,7980,7980,7780,7860,96050,-0.0012706480304955914
2019-10-16,7890,8040,7880,7980,142658,0.01526717557251911
